num,nom,annee_naissance,annee_decès,profession
0001341,Petit Jacques-Guy,,,
166726,Quéré France ,1936.0,1995.0,historien
822948,Le Glaunec Jean-Pierre ,1977.0,,
273261,Caire Guy,,,economiste
228587,Minces Juliette ,1937.0,,sociologue
29538,Rodinson Maxime ,1915.0,2004.0,directeur
849011,Franck Georg,,,
173822,La Frenière Peter,,,
173823,Ménard Jean-Marc,,,
71892,Pozzi Samuel ,1846.0,1918.0,médecin
403407,Forteaux Michel,,,
0001461,Parant Marc,,,
724712,Gay François J. ,1922.0,2019.0,géographe
395042,Acselrad Henri,,,professeur
395043,Mello Cecilia,,,
395066,Vaucher Philippe,,,
247976,Veyne Paul ,1930.0,,historien
177537,Song Wu,,,
177492,Sanjuan Thierry ,1966.0,,géographe
0001513,Zhengming,,,
283718,Poujol Jacques,,,
0001541,PICHÉ Victor,,,
587018,Bojkó Béla,,,
75598,Delanoë Guirec,,,economiste
247899,Kastler A. ,1902.0,1984.0,autre
0001601,Montes Jérôme,,,
259931,Barou Jacques,,,anthropologue
204454,Bourg Charles,,,
268472,Faour Ali,,,
35248,Tsur Jacob ,1906.0,1990.0,autre
5711,Becker Jörg,,,
5799,Mely Josie,,,autre
5800,Weinzorn Catherine,,,
26186,Saint-Paul Raymond,,,
226132,Calmont André,,,géographe
72429,Manouvrier Léonce ,1850.0,1927.0,anthropologue
403665,Diop Djibril ,1970.0,,géographe
0001731,Maïla Joseph,,,
206068,Pereira Ramos Maria,,,
60348,Ouedraogo Dieudonné ,1947.0,,géographe
25895,Monjon Stéphanie,,,chercheur
657267,Bernoussi Nadia,,,
704822,Benkeroum Mohamed,,,
281211,Dezalay Yves ,1945.0,,sociologue
71519,Adamets Sergueï,,,chercheur
276612,Calvo Thomas ,1944.0,,historien
586037,Pelé Gérard,,,chercheur
264843,Ferrier Jean-Paul,,,
264844,Rinaudo Yves,,,professeur
365317,Schnerb Robert,,,
0001891,Laplante Julie,,,
0001892,Sacrini Marcus,,,
0001901,Villeneuve Johanne,,,
0001941,Labrecque Marie France,,,
0001951,Decaluwe Bernard,,,
245741,Brunet Roger ,1931.0,,géographe
3067,MINKOV Minko,,,
24665,Charpin Françoise,,,
4920,Cailar A.,,,
