mot,num_article,frequence
comm,238,2
entre,238,1
europ,239,1
plus,240,1
europ,241,1
des,241,1
pay,241,3
entre,241,1
des,242,4
plus,242,1
entre,242,1
europ,243,1
des,243,1
plus,243,1
pay,243,3
europ,244,3
plus,244,1
tout,244,1
entre,244,2
polit,245,1
europ,246,2
europ,249,1
des,249,1
pay,249,2
entre,249,1
des,250,3
plus,250,1
tout,250,1
europ,251,1
plus,251,1
franc,251,2
franc,252,2
comm,252,1
europ,253,3
pay,253,1
franc,253,4
comm,254,2
entre,254,1
europ,255,8
des,255,1
plus,255,1
pay,255,1
européen,255,3
entre,255,3
europ,256,3
europ,257,2
pay,257,3
tout,257,1
europ,258,1
pay,259,2
polit,259,2
franc,259,1
tout,260,1
europ,261,3
plus,261,1
franc,261,1
entre,261,3
europ,262,1
pay,262,1
polit,262,1
europ,263,1
franc,263,1
tout,263,1
europ,264,3
franc,264,1
europ,265,2
européen,265,1
tout,265,1
europ,267,1
europ,268,2
plus,268,1
tout,268,1
europ,269,4
pay,269,1
polit,269,1
europ,270,6
pay,270,1
européen,270,1
europ,271,9
des,271,2
plus,271,4
polit,271,1
européen,271,1
comm,271,1
entre,271,4
des,272,2
tout,272,1
des,273,1
comm,273,1
europ,274,3
tout,274,1
entre,274,1
polit,275,3
entre,276,1
des,277,3
plus,277,1
entre,277,1
des,279,3
plus,279,1
comm,279,1
europ,281,1
europ,284,1
européen,284,1
europ,285,1
europ,286,3
europ,287,1
polit,287,1
europ,288,3
des,288,1
plus,288,1
européen,288,1
tout,288,2
entre,288,1
europ,290,3
plus,290,1
pay,290,4
des,291,3
plus,291,1
tout,291,1
entre,291,1
europ,292,2
polit,292,1
entre,292,1
europ,293,2
polit,293,1
entre,293,1
plus,294,1
europ,295,2
pay,295,1
entre,295,1
plus,296,1
comm,296,1
tout,297,1
europ,298,2
plus,298,3
pay,298,2
franc,298,3
europ,299,1
europ,300,1
europ,301,3
europ,302,2
plus,302,1
tout,302,1
plus,304,1
tout,304,1
europ,305,4
des,305,1
pay,305,1
europ,306,1
tout,306,1
europ,308,4
europ,309,4
comm,310,1
europ,312,2
plus,312,1
pay,312,1
europ,313,2
plus,314,1
plus,315,1
europ,317,12
des,317,1
polit,317,1
europ,318,9
polit,318,2
europ,319,2
pay,319,1
polit,319,1
européen,319,1
comm,319,2
entre,319,1
europ,320,2
franc,320,2
européen,320,1
tout,320,2
comm,320,2
europ,321,2
pay,321,1
polit,321,1
européen,321,1
plus,324,2
plus,325,1
européen,325,1
comm,325,1
entre,325,1
plus,326,1
polit,326,1
comm,326,1
europ,328,1
franc,328,1
europ,329,2
plus,329,1
polit,329,1
tout,329,1
des,330,1
plus,330,1
tout,331,1
tout,333,2
europ,334,2
plus,334,1
franc,334,2
européen,334,1
entre,334,1
europ,335,2
comm,335,1
europ,336,3
entre,336,1
des,337,2
entre,337,1
europ,338,1
polit,338,1
des,340,1
europ,341,2
plus,341,1
pay,341,1
franc,341,1
pay,342,1
européen,342,2
plus,344,1
tout,344,1
europ,345,1
des,345,2
plus,345,3
pay,345,1
polit,345,1
comm,345,1
europ,346,1
pay,346,2
entre,346,1
europ,347,3
pay,347,1
polit,347,2
entre,347,1
europ,348,2
plus,348,1
pay,348,2
europ,349,2
plus,349,2
europ,350,2
plus,351,1
europ,352,4
polit,352,1
européen,352,3
europ,353,2
plus,353,2
européen,353,1
entre,353,1
europ,354,2
plus,354,1
europ,355,1
plus,355,1
entre,355,1
europ,356,1
plus,356,1
europ,357,3
plus,357,1
des,358,1
tout,358,1
entre,358,1
europ,359,4
des,359,1
plus,359,2
pay,359,1
europ,360,1
plus,360,1
europ,361,2
des,362,1
europ,363,2
plus,363,2
pay,363,1
europ,364,3
polit,364,3
européen,364,1
tout,364,1
europ,365,5
europ,367,1
plus,367,4
entre,367,1
des,368,1
tout,368,2
tout,369,3
comm,369,2
europ,372,1
plus,372,1
franc,372,1
europ,373,2
polit,373,2
européen,373,1
des,374,3
entre,374,1
europ,375,2
entre,375,1
comm,376,1
europ,377,1
europ,378,1
europ,379,5
pay,379,1
entre,379,1
europ,380,4
pay,380,1
entre,380,1
europ,381,3
plus,381,1
pay,381,1
europ,382,2
plus,382,1
europ,383,4
europ,384,2
plus,384,1
