num,nom,annee_naissance,annee_decès,bio
249315,Moutsópoulos Euággelos A. ,1930.0,,"Écrit aussi en français et en anglais
Spécialiste de la philosophie grecque. - Membre de l'Académie d'Athènes (en 2010) ; directeur du Centre de recherche sur la philosophie grecque. - Professeur à l'Université d'Athènes (en 1976). - Correspondant de l'Académie des sciences morales et politiques de l'Institut de France, Section philosophie (élu en 1977). - Docteur ès lettres de l'Université de Paris (en 1958) (Source DataBNF)"
233041,Boons Marie-Claire ,1925.0,,"Titulaire d'un doctorat de 3e cycle en sciences de l'éducation (Paris 8, 1988), membre de l'École de psychanalyse Sigmund Freud (en 2008) (Source DataBNF)"
000451,Morin Stéphane,,,
204781,Kemball Robin,,,Slavisant (Source DataBNF)
207113,Formentelli Éliane,,,"Spécialiste d'histoire de la littérature
Traduit de l'italien en français (Source DataBNF)"
281513,Wihtol de Wenden Catherine ,1950.0,,"Docteur en sciences politiques. - Chargée de recherche au CNRS/CERI, Centre d'études et de recherches internationales de la Fondation nationale des sciences politiques, Paris (en 2011). - Enseignante à l'Institut d'études politiques de Paris (en 2011) (Source DataBNF)"
402589,Harzoune Mustapha,,,"Journaliste. - Membre de la rédaction de la revue ""Hommes & migrations"" (en 2012) (Source DataBNF)"
402576,Videau André,,,
000521,Mandé Issiaka,,,
262183,Valadeau Nicolas,,,
147927,Boussard Jean-Marc ,1937.0,,
000571,De Tinguy Anne,,,
155470,Sibbille Jean-Paul,,,
175828,Trevarthen Colwyn,,,Professeur en psychologie infantile et psychobiologie à l'Université d'Edimbourg (en 2004) (Source DataBNF)
47141,Cordonnier Isabelle,,,Politologue. - Spécialiste des équilibres géostratégiques et des questions de sécurité en Asie-Pacifique (Source DataBNF)
59179,Dumas Michel,,,
47158,De Montlibert Catherine,,,
404542,Parant Marc,,,
285809,Baudry de Vaux Marie des Neiges,,,
240962,Ceccaldi Sylviane,,,
240963,Crine Grégory,,,
240964,de Lassus Isabelle,,,
240965,Thévenot Magali,,,
237556,Grumel Venance ,1890.0,1967.0,"Publie des textes grecs du Moyen âge
Assomptionniste (depuis 1907/1909). - Byzantiniste. - Maître de recherches au C.N.R.S. (de 1955 à ?). - Membre de l'Académie de Savoie (depuis 1966) (Source DataBNF)"
