nom_pays,num_article
luxembourg,5827
portugal,5827
egypt,5873
uruguay,5873
germany,5875
mexico,5886
egypt,5901
oman,5903
oman,5904
egypt,5905
oman,5909
oman,5910
egypt,5911
mali,5911
oman,5914
oman,5925
india,5930
hong kong,5933
oman,5934
spain,5947
iceland,5947
oman,5953
portugal,5954
egypt,5955
egypt,5956
madagascar,5959
oman,5970
oman,5981
oman,5988
dominica,5994
macao,6005
oman,6016
oman,6024
hungary,6079
poland,6079
portugal,6084
luxembourg,6102
france,6116
spain,6119
morocco,6119
turkey,6119
france,6148
luxembourg,6151
mali,6180
réunion,6182
luxembourg,6207
finland,6211
belgium,6212
switzerland,6212
spain,6212
hungary,6212
italy,6212
portugal,6212
japan,6215
cyprus,6227
iceland,6227
luxembourg,6227
oman,6251
réunion,6260
belgium,6279
luxembourg,6283
japan,6294
portugal,6294
indonesia,6305
réunion,6332
belgium,6364
oman,6395
denmark,6404
iceland,6404
norway,6404
oman,6418
oman,6441
ireland,6464
andorra,6475
france,6476
luxembourg,6479
egypt,6486
oman,6488
oman,6498
portugal,6504
egypt,6534
oman,6551
luxembourg,6556
united kingdom,6592
finland,6595
congo,6602
réunion,6610
egypt,6645
oman,6655
france,6658
oman,6666
oman,6667
egypt,6668
egypt,6684
oman,6703
pakistan,6713
oman,6715
jordan,6718
réunion,6718
oman,6720
oman,6728
egypt,6732
finland,6766
oman,6769
dominica,6774
portugal,6795
afghanistan,6802
portugal,6831
oman,6833
peru,6837
turkey,6848
sweden,6849
portugal,6873
germany,6877
egypt,6885
egypt,6895
egypt,6897
germany,6949
thailand,6955
oman,6956
france,6957
oman,6962
oman,6979
oman,6981
oman,6986
egypt,6988
oman,6989
oman,6995
oman,7004
portugal,7034
oman,7041
oman,7043
oman,7047
egypt,7068
oman,7074
portugal,7080
spain,7084
mali,7104
finland,7130
luxembourg,7132
réunion,7138
united kingdom,7150
gibraltar,7159
jersey,7164
portugal,7176
réunion,7177
oman,7190
portugal,7198
oman,7209
finland,7218
belgium,7230
oman,7237
oman,7242
finland,7250
uruguay,7256
norway,7297
switzerland,7312
afghanistan,7320
portugal,7327
canada,7346
poland,7353
portugal,7373
finland,7384
luxembourg,7403
finland,7417
portugal,7439
france,7447
oman,7461
chad,7472
oman,7486
portugal,7488
oman,7500
italy,7527
portugal,7559
oman,7578
oman,7591
egypt,7606
gibraltar,7621
denmark,7622
finland,7625
luxembourg,7625
egypt,7628
yemen,7629
oman,7669
oman,7673
egypt,7677
oman,7687
egypt,7718
portugal,7725
portugal,7728
portugal,7732
egypt,7738
mali,7745
oman,7745
egypt,7748
portugal,7749
oman,7751
egypt,7756
egypt,7762
oman,7810
egypt,7821
oman,7823
oman,7826
oman,7828
germany,7836
luxembourg,7838
portugal,7857
egypt,7881
mali,7883
finland,7889
portugal,7889
portugal,7896
egypt,7914
oman,7915
oman,7938
hong kong,7950
oman,7971
oman,7991
egypt,7996
portugal,8004
egypt,8015
germany,8025
gabon,8030
egypt,8048
japan,8055
hong kong,8080
switzerland,8083
greenland,8083
norway,8083
poland,8083
finland,8084
mali,8091
jordan,8094
egypt,8100
egypt,8105
afghanistan,8111
dominica,8112
cyprus,8133
oman,8143
jersey,8156
egypt,8161
egypt,8170
egypt,8172
egypt,8183
ireland,8205
mali,8240
germany,8243
oman,8247
israel,8251
poland,8263
oman,8286
finland,8294
gabon,8316
egypt,8348
poland,8361
luxembourg,8399
portugal,8423
oman,8427
oman,8439
oman,8472
finland,8484
portugal,8495
luxembourg,8533
réunion,8557
luxembourg,8567
oman,8574
finland,8582
oman,8613
portugal,8637
italy,8640
oman,8644
finland,8654
germany,8663
united kingdom,8663
luxembourg,8688
egypt,8714
egypt,8718
oman,8728
portugal,8733
luxembourg,8745
pakistan,8752
oman,8760
oman,8773
germany,8785
mali,8811
réunion,8811
réunion,8814
oman,8830
hong kong,8836
oman,8838
oman,8880
egypt,8906
oman,8912
liechtenstein,8916
egypt,8928
egypt,8934
niger,8941
egypt,8942
macao,8966
france,8985
réunion,8987
china,9002
oman,9006
gabon,9019
egypt,9032
egypt,9035
oman,9035
egypt,9040
gabon,9043
oman,9043
oman,9044
mali,9054
finland,9057
germany,9071
oman,9083
egypt,9095
mali,9108
portugal,9129
oman,9132
mali,9142
oman,9144
oman,9176
oman,9177
oman,9178
réunion,9195
oman,9196
oman,9206
mexico,9209
oman,9210
oman,9233
congo,9240
gabon,9240
oman,9253
egypt,9254
oman,9280
oman,9288
germany,9291
morocco,9310
mali,9310
afghanistan,9319
egypt,9324
egypt,9333
oman,9343
egypt,9360
oman,9360
oman,9365
japan,9371
hong kong,9381
egypt,9410
portugal,9417
oman,9426
oman,9430
oman,9437
réunion,9445
egypt,9453
oman,9469
portugal,9482
portugal,9523
portugal,9532
oman,9553
oman,9580
portugal,9603
japan,9620
united kingdom,9625
norway,9625
spain,9647
portugal,9647
germany,9670
denmark,9670
luxembourg,9691
