nom,num_doc,role
5313,289.0,
403980,290.0,
285448,291.0,
259609,293.0,
140790,294.0,
47182,295.0,
217149,297.0,
276839,298.0,
197799,299.0,
71704,300.0,
0003001,301.0,
393194,302.0,
141307,303.0,
216689,304.0,
280473,305.0,
146935,306.0,
49484,307.0,
0003071,308.0,
276083,309.0,
141245,310.0,
232265,311.0,
394037,312.0,
3624,313.0,
72429,314.0,
180152,315.0,
180179,315.0,Traducteur
145365,316.0,
214603,317.0,
46375,318.0,
30846,319.0,
30846,320.0,
403706,321.0,
69620,322.0,
0003221,323.0,
0003222,323.0,
198873,324.0,
231215,326.0,
404386,327.0,
161861,328.0,
30125,329.0,
49710,330.0,
288770,331.0,
614922,332.0,
614923,332.0,
614915,332.0,
216689,333.0,
149734,334.0,
251340,335.0,
223595,336.0,
223596,336.0,
1645,337.0,
80339,338.0,
418070,339.0,
262521,341.0,
74264,343.0,
246018,344.0,
262850,345.0,
236816,346.0,
231329,347.0,
25062,348.0,
158612,349.0,
155930,350.0,
145350,351.0,
661730,352.0,
51120,353.0,
216689,354.0,
216690,354.0,
216691,354.0,
216692,354.0,
80309,355.0,
64054,356.0,
0003561,357.0,
154874,358.0,
403139,359.0,
80309,360.0,
159952,361.0,
61046,362.0,
33007,363.0,
585799,364.0,
82819,365.0,
82820,365.0,
72042,366.0,
166793,367.0,
0003671,368.0,
0003681,369.0,
0003691,370.0,
264642,371.0,
165425,372.0,
0003741,375.0,
72429,376.0,
254165,377.0,
32976,378.0,
1709,379.0,
1709,380.0,
1709,381.0,
1709,382.0,
266377,385.0,
267942,385.0,
265217,386.0,
263934,386.0,
1709,387.0,
25064,389.0,Éditeur intellectuel
47141,391.0,
47141,392.0,
47757,393.0,
47141,393.0,
35961,394.0,
48002,396.0,
1709,397.0,
32976,400.0,
32976,401.0,
265867,402.0,
1709,403.0,
1709,404.0,
241494,405.0,
79937,406.0,
247405,406.0,
248653,406.0,
1709,407.0,
1709,408.0,
1615,409.0,
1709,410.0,
32976,411.0,
32976,412.0,
32976,413.0,
32976,414.0,
166648,415.0,
46411,417.0,
47571,418.0,
47141,419.0,
35118,420.0,
258068,421.0,
396683,423.0,
404050,424.0,
62131,425.0,
249835,426.0,
0004261,427.0,
257686,428.0,
274943,429.0,
234685,433.0,
151434,434.0,
275559,435.0,
68612,436.0,
855198,437.0,
143376,438.0,
829704,439.0,
27823,440.0,
838961,441.0,
175347,442.0,
0004421,443.0,
0004422,443.0,
59771,444.0,
226008,445.0,
51235,446.0,
274943,447.0,
44470,448.0,
82632,449.0,
72429,450.0,
151434,451.0,
403852,452.0,
179629,453.0,
242861,454.0,
80609,455.0,
179837,457.0,
273261,459.0,
82241,460.0,
72009,461.0,
80242,462.0,
auteur_abpo_1256,464.0,
55607,465.0,
8512,465.0,Traducteur
215149,466.0,
235788,467.0,
262852,468.0,
271553,469.0,
8475,470.0,
64860,471.0,
282903,472.0,
73765,473.0,
215433,473.0,
254366,474.0,
400821,475.0,
244709,476.0,
234064,477.0,
0004771,478.0,
156976,479.0,
209633,480.0,
174615,481.0,
271269,482.0,
225088,483.0,
235113,484.0,
230194,486.0,
288265,488.0,
238658,489.0,
591363,490.0,
35168,491.0,
68991,492.0,
275820,493.0,
73465,493.0,
26559,494.0,
253874,495.0,
29696,496.0,
250652,497.0,
285711,498.0,
282445,499.0,
402753,500.0,
49484,501.0,
30551,502.0,
205936,502.0,Contributeur
29696,503.0,
150443,505.0,
216892,506.0,
62898,508.0,
216689,509.0,
55752,510.0,
168296,511.0,
731769,511.0,Traducteur
842815,511.0,Traducteur
404404,512.0,
60507,513.0,
689770,514.0,
233720,515.0,
402800,515.0,Traducteur
402801,515.0,Traducteur
214293,516.0,
179425,516.0,
180469,517.0,
180636,517.0,
273261,520.0,
273586,521.0,
11637,522.0,
267978,523.0,
62142,524.0,Éditeur intellectuel
76109,524.0,Éditeur intellectuel
79816,527.0,
399039,528.0,
27733,529.0,
194798,531.0,
155551,532.0,
370729,533.0,
733365,534.0,
67385,535.0,
0005351,536.0,
402438,537.0,
659325,538.0,
147296,539.0,
147297,539.0,
72429,540.0,
47381,541.0,
151434,543.0,Porteur de licence
26997,544.0,
57851,544.0,
76797,546.0,
26977,547.0,
262853,548.0,
46867,549.0,
39699,550.0,
72252,551.0,
257680,552.0,
251074,554.0,
78006,555.0,
265502,556.0,
0005561,557.0,
0005562,557.0,
0005563,557.0,
72226,558.0,
227617,559.0,
605867,560.0,
66350,561.0,
54124,561.0,
203300,562.0,
0005621,563.0,
44534,564.0,
0005641,565.0,
0005651,566.0,
249614,567.0,
273458,567.0,
281469,568.0,
148465,568.0,
148465,569.0,
236129,571.0,
27848,575.0,
59941,576.0,
59942,576.0,
79564,577.0,
31139,580.0,
147515,581.0,
26742,582.0,Éditeur intellectuel
26747,582.0,Éditeur intellectuel
283482,583.0,Éditeur intellectuel
175934,584.0,
176536,585.0,
157320,586.0,
157320,587.0,
364639,588.0,
72248,590.0,
385576,592.0,
